Mes,Edad Empresa Cliente,Exhibidor,Recuento de Referencia,Suma de Cant. Dev.,Suma de Cant. Neta,Suma de Vta. - IVA
SEGUNDO TRIMESTRE,10,SI,21,0,163,289265
SEGUNDO TRIMESTRE,10,NO,3,0,3,8239
SEGUNDO TRIMESTRE,10,NO,13,0,32,251471
SEGUNDO TRIMESTRE,10,SI,21,65,219,318535
SEGUNDO TRIMESTRE,10,NO,8,12,7,49248
SEGUNDO TRIMESTRE,10,NO,20,0,127,242972
SEGUNDO TRIMESTRE,10,NO,12,13,38,78115
SEGUNDO TRIMESTRE,10,SI,4,0,4,9824
SEGUNDO TRIMESTRE,10,SI,23,0,324,718967
SEGUNDO TRIMESTRE,10,NO,22,0,303,482098
SEGUNDO TRIMESTRE,10,NO,14,25,120,165950
SEGUNDO TRIMESTRE,10,NO,4,14,6,47110
SEGUNDO TRIMESTRE,10,NO,15,0,101,182868
SEGUNDO TRIMESTRE,10,NO,14,0,30,135595
SEGUNDO TRIMESTRE,10,NO,17,0,94,320545
SEGUNDO TRIMESTRE,10,NO,6,0,25,63412
SEGUNDO TRIMESTRE,10,NO,9,0,69,117654
SEGUNDO TRIMESTRE,10,SI,30,1,216,548225
SEGUNDO TRIMESTRE,10,NO,6,24,47,120272
SEGUNDO TRIMESTRE,11,NO,12,0,122,269410
SEGUNDO TRIMESTRE,11,NO,4,0,40,46073
SEGUNDO TRIMESTRE,11,SI,7,0,68,89150
SEGUNDO TRIMESTRE,11,NO,22,1,257,426584
SEGUNDO TRIMESTRE,11,SI,16,0,246,329405
SEGUNDO TRIMESTRE,11,NO,27,0,315,536747
SEGUNDO TRIMESTRE,11,SI,19,0,21,261183
SEGUNDO TRIMESTRE,11,NO,16,0,48,138077
SEGUNDO TRIMESTRE,11,NO,5,0,99,73410
SEGUNDO TRIMESTRE,11,NO,16,0,68,288851
SEGUNDO TRIMESTRE,11,SI,34,1,213,473714
SEGUNDO TRIMESTRE,11,NO,13,0,105,146117
SEGUNDO TRIMESTRE,11,NO,2,0,49,43415
SEGUNDO TRIMESTRE,11,SI,8,1,33,82839
SEGUNDO TRIMESTRE,11,SI,9,0,10,52299
SEGUNDO TRIMESTRE,11,NO,21,0,121,266091
SEGUNDO TRIMESTRE,11,NO,23,0,89,249627
SEGUNDO TRIMESTRE,11,NO,18,0,143,284734
SEGUNDO TRIMESTRE,11,NO,21,0,116,211856
SEGUNDO TRIMESTRE,11,SI,21,1,143,260445
SEGUNDO TRIMESTRE,11,SI,36,0,67,475937
SEGUNDO TRIMESTRE,11,NO,17,0,196,356135
SEGUNDO TRIMESTRE,11,NO,28,0,298,468316
SEGUNDO TRIMESTRE,11,NO,13,0,243,475186
SEGUNDO TRIMESTRE,11,NO,2,0,25,24605
SEGUNDO TRIMESTRE,11,NO,9,0,15,65683
SEGUNDO TRIMESTRE,11,NO,18,12,151,215100
SEGUNDO TRIMESTRE,11,NO,3,0,61,61737
SEGUNDO TRIMESTRE,11,SI,23,0,128,319642
SEGUNDO TRIMESTRE,11,NO,8,0,70,93715
SEGUNDO TRIMESTRE,11,NO,14,0,123,183120
SEGUNDO TRIMESTRE,11,NO,15,0,73,196459
SEGUNDO TRIMESTRE,11,SI,40,0,160,822917
SEGUNDO TRIMESTRE,11,SI,28,0,224,555063
SEGUNDO TRIMESTRE,11,SI,33,2,193,717245
SEGUNDO TRIMESTRE,11,SI,30,0,296,549502
SEGUNDO TRIMESTRE,11,SI,24,0,205,422348
SEGUNDO TRIMESTRE,11,SI,11,0,81,221608
SEGUNDO TRIMESTRE,11,NO,18,0,57,257894
SEGUNDO TRIMESTRE,11,NO,8,0,86,143254
SEGUNDO TRIMESTRE,11,SI,34,0,213,517800
SEGUNDO TRIMESTRE,11,NO,10,5,125,224832
SEGUNDO TRIMESTRE,11,SI,28,1,278,492932
SEGUNDO TRIMESTRE,11,NO,22,0,128,313270
SEGUNDO TRIMESTRE,11,SI,26,0,244,404533
SEGUNDO TRIMESTRE,11,NO,38,1,189,429401
SEGUNDO TRIMESTRE,11,NO,20,0,320,496121
SEGUNDO TRIMESTRE,11,NO,26,0,243,451219
SEGUNDO TRIMESTRE,11,NO,12,28,103,160918
SEGUNDO TRIMESTRE,11,NO,12,0,88,173336
SEGUNDO TRIMESTRE,11,NO,27,0,266,521926
SEGUNDO TRIMESTRE,11,NO,28,0,448,645737
SEGUNDO TRIMESTRE,11,NO,16,1,162,237374
